words level
"boite postale" B2
boiter B2
bol B2
bon A1.1
"bon a rien" B2
"bon marche" B2
"bon sens" B2
bonbon A2
bonde B2
bonnet A2
"bord  " B1
"bord de mer" B1
bordeaux B1
borgne B2
borne B2
botte A2
bottines B2
bouc B2
bouche A1.1
boucher A2
boucherie A1
bouchon B2
boucle B1
"boucler sa ceinture" B2
bouddhisme B2
bouddhiste B1
bouder B2
boudin B2
bouger A2
bougie B1
bouillant B1
bouilli B2
bouillir B1
bouillon B2
boulanger A2
boulangerie A1.1
"boule " B1
bouleau B2
boules B2
boulevard A1
boulversement B2
boulverser B2
bouquet A1
bourg B2
bourgogne B2
bourguignon B2
boursier B2
bousculer B2
bout B1
bouteille A2
"bouteille d'eau" A1.1
boutique A1
bouton B1
bowling B2
boxe B2
boxer B2
boxeur B2
branchement B2
brancher A2
bras A1.1
brasserie B1
brave B2
brebis B2
bref B1
bretelles B2
"brevet de technicien superieur" B1
bricolage B1
bricoler B1
bricoleur B2
bridge B2
brie B1
brievement B1
brillant B1
brioche A2
briquet A2
briser B2
broche B2
brochette B1
broderie B2
bronchite A2
bronzage B1
bronze B2
bronze A2
bronzer B1
brosse A2
"brosse a dents" A1.1
brosser B2
brouillard A1
brouiller B2
brouillon B2
bru B2
bruiner B2
bruit A1
brulant A2
brule A2
bruler A2
"bruler un feu rouge" B2
brulure A2
"brulure d'estomac" B2
brume B2
"brumeux " B2
brun A1.1
brunes B2
brunir B2
brusque B2
brusquement B2
brusquer B2
brut B1
bruyant A2
buccal B2
budget B1
buffet B1
buffle B2
bulletin B2
"bulletin de salaire" B1
bureau A1
"bureau de chomage" B2
"bureau de poste" A2
"bureau de tabac" A2
"bureau de vote" B1
"bureau d'embauche" B2
"bureau du personnel" B2
bus A2
buste B2
but B1
"ca et la" B2
cabane B2
cabaret B2
cabillaud B2
cabine B1
"cabinet de recrutement" B2
"cabinet medical" B1
cacahuete B2
cache B2
cache-cache B2
cachet A2
caddie B2
cadeau A1.1
cadences B2
cadet B2
cadran B2
cadre B1
"cadre superieur" B2
cafard B2
cafe A1
"cafe creme" B2
cafeteria A2
cafe-theatre B2
cagibi B2
cagoule B2
cahier A1
caisse A1
"caisse de retraite" B1
"Caisse d'epargne" B2
caisse-maladie B2
caissier A2
cake B2
calcaire B2
calcium B2
calcul B2
calculer A2
calme A2
calmer B1
calomnie B2
calomnier B2
calorie B2
camarade B2
camaraderie B2
camembert B1
camion A2
camionnette B2
campagnard B2
campagne A1.1
camper A2
campeur B1
camping A1.1
camping-car B1
campus B1
canal B2
canape B1
canard A2
cancer A2
cancereux B2
cancerologie B2
cancerologue B2
candidat B1
candidature B2
cane B2
caniche B2
canne B1
"canne a peche" B2
cannelle B2
cantine A1
canton A2
cantonal B2
capable B1
capacite B2
capitaine B1
capital B2
capitale A2
capitalisme B2
capot B2
caprice B2
capsule B2
car B1
caractere B1
caracteristique B1
carafe B1
carambolage B2
caravane B1
carburant B2
cardiaque B2
cardinal B2
cardiologie B2
cardiologique B2
cardiologue B1
caricaturiste B2
carie B2
caritatif B2
carnet B2
"carnet de cheques" B2
"carnet de mariage" B2
carotte B1
carre A1
carrefour A1
carriere B1
carrure B2
cartable A2
carte A1
"carte bancaire" A1
"carte de credit" B2
"carte de paiement" B2
"carte de sejour" B1
"carte d'identite" B1
"carte grise" B2
"carte hebdomadaire/mensuelle" B2
"carte postale" A1.1
"carte prepayee" B2
"carte professionnelle medicale" B2
"carte professionnelle pour etranger" B1
"carte Vitale" B1
carton A2
cartonne B2
cartouche B2
cas B2
cascade B2
casier B2
casino B2
casquette A1.1
"casquette " A2
cassable B2
cassant B2
casse A2
casser A2
"casser la figure" B2
"casser les oreilles" B2
casserole A2
