words;level
auparavant;B2
auscultation;B2
ausculter;B2
aussi;A1
autant;B2
autant (que);B1
auteur;A2
auto;A1
autobus;A1.1
autocar;B2
autocuiseur;B2
auto-école;B2
automnal;B2
automne;A1.1
automobile;B2
autonome;B1
autoradio;B2
autorisé;A2
autoriser;A2
autoritaire;B1
autorité;B2
autoroute;A1
autour (de);B1
autre;A2
autre part;B2
autrefois;B2
aux alentours;B2
aux environs de;B2
aux œufs;B2
aval;B2
avaler;A1
avancé;B1
avance (être en - );A2
avancée;B2
avancer;A2
avant;A1.1
avant de;B2
avant que;B2
avantage;B1
avantages en nature;B2
avant-bras;B2
avant-hier;B1
avant-veille;B2
avare;B2
avarice;B2
avec;A1.1
avec accusé de réception;B2
avenir;A1
avenir professionnel;B1
avenue;A1.1
averse;B2
aveu;B2
aveugle;B1
aveugler;B2
avion;A1.1
aviron;B2
avis;B1
avocat;B1
avoine;B2
avoir;A1.1
avoir beau;B2
avoir bon/mauvais goût;A2
avoir de la fièvre;B2
avoir de l'idée;B2
avoir des notions;B2
avoir du goût;B1
avoir du succès;B1
avoir la forme de;A2
avoir la priorité;B2
avoir lieu ;B1
avoir mal;A1
avoir pour conséquence;B2
avoir une odeur;B1
avouer;B1
avril;A1.1
axe;B2
azote;B2
bâbord;B2
baby-sitter;A1
baccalauréat;B1
bachelor;B2
bacon;B2
bactérie;B2
bactérien;B2
bafouiller;B2
bagage;A1
bagage à main;B1
bagagiste;B2
baguette;A1.1
baie;B2
baignade;B1
baigner (se);B2
baignoire;B1
bail;B2
bain;A1.1
baisse;B1
baissé;B1
baisser;A2
baisser (se);B1
balade;B1
balader (se);A2
balai;A2
balbutier;B2
balcon;B1
baleine;B2
balle;A2
ballet;B2
ballon;A1
ballon de foot;A1
banal;B1
banane;A1.1
bananier;B2
bancaire;B1
bande;B1
bande d'arrêt d'urgence;B2
bande-annonce;B1
banderole;B2
banlieue;A1
banlieusard;B2
banque;A1
banquet;B2
banquette;B2
bar;A2
barbe;A2
barbecue;B2
barbu;B1
bariolé;B2
barman;B2
barquette;B2
barre;B2
barrière de sécurité;B2
bas (adj.);A1.1
bas (adv.);A2
bas (n.);A2
bas-côté;B2
base;B2
basket-ball;A1.1
baskets (chaussures);B1
basset;B2
bassin;B2
bataille;B2
bataille navale;B2
bâtard;B2
bateau;A1.1
bâtiment;A1
batterie;B1
battre;B1
bavard;B1
bavardage;B1
bavarder;B1
beau;A1.1
beaucoup;A1.1
beau-fils;B2
beaujolais;B2
beau-père;A1
beaux-parents;B1
bébé;A1.1
bégaiment;B2
bégayer;B2
beige;B1
Belge;A2
belle-fille;B2
belle-mère;A1
belote;B2
bénéficiaire des soins;B2
bénéficier;B2
bénévolat;B2
bénévole;B1
bénin;B2
benjamin;B2
benzine;B2
béquille;B2
béret;B2
berger;B2
berne (en -);B2
besoin (avoir - de);A2
bétail;B2
bête (adj.+n);A1
bêtise;B2
béton;B2
bétonné;B2
